rank1,rank2,rank3,count
"Peltola, Mary S.","Begich, Nick",,22572
"Palin, Sarah","Begich, Nick",,20924
"Peltola, Mary S.",,,19644
"Palin, Sarah",,,19126
"Begich, Nick","Palin, Sarah",,17645
"Peltola, Mary S.","Begich, Nick","Palin, Sarah",14923
"Begich, Nick",,,9989
"Palin, Sarah","Begich, Nick","Peltola, Mary S.",9552
"Begich, Nick","Peltola, Mary S.","Palin, Sarah",6622
"Begich, Nick","Palin, Sarah","Peltola, Mary S.",6380
"Begich, Nick","Peltola, Mary S.",,6200
"Peltola, Mary S.",Write-in,"Begich, Nick",4560
"Peltola, Mary S.","Begich, Nick",Write-in,3924
"Peltola, Mary S.",Write-in,,3168
,,,2836
"Peltola, Mary S.","Palin, Sarah","Begich, Nick",2527
"Palin, Sarah","Peltola, Mary S.","Begich, Nick",2488
"Palin, Sarah","Begich, Nick",Write-in,2061
"Begich, Nick","Palin, Sarah",Write-in,1682
"Begich, Nick","Peltola, Mary S.",Write-in,1268
"Palin, Sarah","Palin, Sarah","Palin, Sarah",1215
"Peltola, Mary S.","Palin, Sarah",,955
"Peltola, Mary S.",Write-in,"Palin, Sarah",752
Write-in,"Peltola, Mary S.","Begich, Nick",633
"Palin, Sarah",Write-in,"Begich, Nick",590
"Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.",582
"Palin, Sarah","Peltola, Mary S.",,579
"Peltola, Mary S.",,"Begich, Nick",546
Write-in,,,526
"Begich, Nick",Write-in,"Peltola, Mary S.",488
"Palin, Sarah",Write-in,,485
"Begich, Nick",Write-in,"Palin, Sarah",479
"Begich, Nick","Begich, Nick","Begich, Nick",459
"Begich, Nick",Write-in,,431
Write-in,"Begich, Nick","Peltola, Mary S.",416
Write-in,"Begich, Nick","Palin, Sarah",409
"Begich, Nick",,"Peltola, Mary S.",303
"Palin, Sarah",,"Begich, Nick",259
Write-in,"Begich, Nick",,258
Write-in,"Palin, Sarah","Begich, Nick",253
"Palin, Sarah","Begich, Nick","Palin, Sarah",245
Write-in,"Peltola, Mary S.",,241
"Palin, Sarah",,"Peltola, Mary S.",166
,"Palin, Sarah",,166
,"Begich, Nick",,163
"Begich, Nick","Palin, Sarah","Begich, Nick",160
"Palin, Sarah",Write-in,"Peltola, Mary S.",151
"Peltola, Mary S.","Palin, Sarah",Write-in,147
"Peltola, Mary S.","Begich, Nick","Peltola, Mary S.",133
Write-in,"Peltola, Mary S.","Palin, Sarah",130
"Begich, Nick",,"Palin, Sarah",128
Write-in,"Palin, Sarah",,110
"Palin, Sarah","Peltola, Mary S.",Write-in,103
"Peltola, Mary S.",,"Palin, Sarah",103
"Palin, Sarah","Palin, Sarah",,96
"Palin, Sarah","Begich, Nick","Begich, Nick",95
"Palin, Sarah","Palin, Sarah","Begich, Nick",77
,"Begich, Nick","Palin, Sarah",74
"Begich, Nick","Peltola, Mary S.","Begich, Nick",74
Write-in,"Palin, Sarah","Peltola, Mary S.",70
"Peltola, Mary S.","Peltola, Mary S.",,50
,"Begich, Nick","Peltola, Mary S.",48
"Begich, Nick","Begich, Nick",,47
"Peltola, Mary S.","Begich, Nick","Begich, Nick",47
"Peltola, Mary S.","Peltola, Mary S.","Begich, Nick",45
"Begich, Nick","Palin, Sarah","Palin, Sarah",45
"Begich, Nick","Peltola, Mary S.","Peltola, Mary S.",44
,"Palin, Sarah","Peltola, Mary S.",43
,"Peltola, Mary S.","Begich, Nick",42
"Begich, Nick","Begich, Nick","Palin, Sarah",42
"Palin, Sarah",Write-in,Write-in,42
Write-in,Write-in,Write-in,33
,"Peltola, Mary S.",,33
"Begich, Nick","Begich, Nick","Peltola, Mary S.",32
"Palin, Sarah","Peltola, Mary S.","Palin, Sarah",32
,"Palin, Sarah","Begich, Nick",31
"Peltola, Mary S.",Write-in,Write-in,28
"Palin, Sarah","Palin, Sarah","Peltola, Mary S.",23
"Palin, Sarah","Peltola, Mary S.","Peltola, Mary S.",20
"Palin, Sarah",Write-in,"Palin, Sarah",17
,,"Palin, Sarah",16
,"Peltola, Mary S.","Palin, Sarah",16
"Peltola, Mary S.","Palin, Sarah","Peltola, Mary S.",15
"Peltola, Mary S.",Write-in,"Peltola, Mary S.",13
,,"Begich, Nick",12
,,"Peltola, Mary S.",12
"Peltola, Mary S.","Peltola, Mary S.","Palin, Sarah",11
"Begich, Nick",Write-in,Write-in,11
"Peltola, Mary S.","Palin, Sarah","Palin, Sarah",10
Write-in,"Begich, Nick",Write-in,8
"Begich, Nick",Write-in,"Begich, Nick",7
"Palin, Sarah","Palin, Sarah",Write-in,7
Write-in,,"Peltola, Mary S.",6
"Palin, Sarah",,"Palin, Sarah",5
"Palin, Sarah",,Write-in,5
"Peltola, Mary S.",,Write-in,5
Write-in,,"Begich, Nick",4
Write-in,"Palin, Sarah",Write-in,4
Write-in,Write-in,,4
"Begich, Nick",,"Begich, Nick",3
"Begich, Nick",,Write-in,3
Write-in,,"Palin, Sarah",3
Write-in,"Begich, Nick","Begich, Nick",3
Write-in,"Peltola, Mary S.","Peltola, Mary S.",2
Write-in,"Peltola, Mary S.",Write-in,2
,"Begich, Nick","Begich, Nick",2
,"Peltola, Mary S.",Write-in,2
"Begich, Nick","Begich, Nick",Write-in,2
Write-in,Write-in,"Begich, Nick",2
,"Palin, Sarah","Palin, Sarah",1
Write-in,"Palin, Sarah","Palin, Sarah",1
,Write-in,"Begich, Nick",1
,Write-in,"Palin, Sarah",1
,Write-in,,1
,"Begich, Nick",Write-in,1
Write-in,Write-in,"Palin, Sarah",1
"Peltola, Mary S.",,"Peltola, Mary S.",1
,"Peltola, Mary S.","Peltola, Mary S.",1
