rank1,rank2,rank3,count
Yusra Arab,,,690
Robin Wonsley Worlobah,Cam Gordon,,630
Cam Gordon,Robin Wonsley Worlobah,,585
Cam Gordon,,,457
Robin Wonsley Worlobah,Cam Gordon,Yusra Arab,447
Robin Wonsley Worlobah,,,380
Robin Wonsley Worlobah,Yusra Arab,Tom Anderson,355
Yusra Arab,Tom Anderson,,346
Robin Wonsley Worlobah,Yusra Arab,Cam Gordon,338
Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,334
,,,268
Yusra Arab,Tom Anderson,Cam Gordon,257
Guy T Gaskin,,,257
Yusra Arab,Cam Gordon,,253
Robin Wonsley Worlobah,Yusra Arab,,250
Tom Anderson,,,212
Cam Gordon,Yusra Arab,,205
Cam Gordon,Yusra Arab,Robin Wonsley Worlobah,205
Yusra Arab,Robin Wonsley Worlobah,Tom Anderson,200
Tom Anderson,Yusra Arab,,198
Yusra Arab,Tom Anderson,Robin Wonsley Worlobah,196
Cam Gordon,Yusra Arab,Tom Anderson,188
Yusra Arab,Robin Wonsley Worlobah,Cam Gordon,164
Yusra Arab,Cam Gordon,Robin Wonsley Worlobah,133
Cam Gordon,Robin Wonsley Worlobah,Tom Anderson,130
Robin Wonsley Worlobah,Cam Gordon,Tom Anderson,130
Yusra Arab,Cam Gordon,Tom Anderson,129
Cam Gordon,Tom Anderson,Yusra Arab,120
Tom Anderson,Yusra Arab,Cam Gordon,106
Yusra Arab,Robin Wonsley Worlobah,,104
Robin Wonsley Worlobah,Tom Anderson,Yusra Arab,86
Yusra Arab,Yusra Arab,Yusra Arab,80
Tom Anderson,Yusra Arab,Robin Wonsley Worlobah,78
Cam Gordon,Tom Anderson,,78
Cam Gordon,Tom Anderson,Robin Wonsley Worlobah,78
Tom Anderson,Cam Gordon,Yusra Arab,63
Tom Anderson,Cam Gordon,,52
Robin Wonsley Worlobah,Tom Anderson,Cam Gordon,45
Guy T Gaskin,Cam Gordon,Tom Anderson,43
Tom Anderson,Robin Wonsley Worlobah,Yusra Arab,40
Yusra Arab,Tom Anderson,Guy T Gaskin,37
Guy T Gaskin,Tom Anderson,Yusra Arab,36
Guy T Gaskin,Cam Gordon,,36
Tom Anderson,Guy T Gaskin,,32
Tom Anderson,Yusra Arab,Guy T Gaskin,30
Tom Anderson,Cam Gordon,Robin Wonsley Worlobah,30
Guy T Gaskin,Guy T Gaskin,Guy T Gaskin,29
Guy T Gaskin,Tom Anderson,,29
Yusra Arab,Guy T Gaskin,,28
Robin Wonsley Worlobah,Tom Anderson,,26
Cam Gordon,Tom Anderson,Guy T Gaskin,26
Guy T Gaskin,Tom Anderson,Cam Gordon,22
Tom Anderson,Robin Wonsley Worlobah,Cam Gordon,22
Cam Gordon,Cam Gordon,Cam Gordon,20
Tom Anderson,Guy T Gaskin,Cam Gordon,19
Yusra Arab,Guy T Gaskin,Tom Anderson,19
Tom Anderson,Robin Wonsley Worlobah,,17
Cam Gordon,Guy T Gaskin,Tom Anderson,17
Guy T Gaskin,Yusra Arab,Tom Anderson,16
Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,16
Guy T Gaskin,Yusra Arab,,16
Yusra Arab,Yusra Arab,,15
Tom Anderson,Guy T Gaskin,Yusra Arab,13
Cam Gordon,Guy T Gaskin,,12
Tom Anderson,Tom Anderson,Tom Anderson,10
Guy T Gaskin,Tom Anderson,Robin Wonsley Worlobah,10
Guy T Gaskin,UWI,UWI,10
Cam Gordon,Robin Wonsley Worlobah,UWI,9
Robin Wonsley Worlobah,Cam Gordon,UWI,9
Yusra Arab,Cam Gordon,Guy T Gaskin,9
Cam Gordon,Yusra Arab,Guy T Gaskin,8
Tom Anderson,Cam Gordon,Guy T Gaskin,8
Guy T Gaskin,Yusra Arab,Cam Gordon,7
Tom Anderson,Yusra Arab,UWI,6
Tom Anderson,Robin Wonsley Worlobah,Guy T Gaskin,6
Robin Wonsley Worlobah,Cam Gordon,Guy T Gaskin,5
,,Yusra Arab,5
Yusra Arab,Robin Wonsley Worlobah,Guy T Gaskin,5
Cam Gordon,Guy T Gaskin,UWI,5
Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,5
UWI,UWI,UWI,4
Cam Gordon,Guy T Gaskin,Yusra Arab,4
Yusra Arab,Cam Gordon,UWI,4
Yusra Arab,Tom Anderson,UWI,4
Yusra Arab,Guy T Gaskin,Cam Gordon,4
Robin Wonsley Worlobah,Yusra Arab,Guy T Gaskin,4
Tom Anderson,Guy T Gaskin,Robin Wonsley Worlobah,4
Robin Wonsley Worlobah,Robin Wonsley Worlobah,,4
Robin Wonsley Worlobah,Guy T Gaskin,Cam Gordon,4
,Yusra Arab,,4
Cam Gordon,Guy T Gaskin,Robin Wonsley Worlobah,4
Tom Anderson,Tom Anderson,Yusra Arab,3
Robin Wonsley Worlobah,overvote,Tom Anderson,3
Tom Anderson,Cam Gordon,Tom Anderson,3
Tom Anderson,Tom Anderson,Cam Gordon,3
Yusra Arab,Tom Anderson,Yusra Arab,3
Robin Wonsley Worlobah,Tom Anderson,Guy T Gaskin,3
Yusra Arab,Yusra Arab,Robin Wonsley Worlobah,3
Yusra Arab,,Cam Gordon,3
Guy T Gaskin,Cam Gordon,UWI,3
Cam Gordon,Guy T Gaskin,Guy T Gaskin,3
Tom Anderson,Tom Anderson,,3
Yusra Arab,UWI,UWI,3
Tom Anderson,Robin Wonsley Worlobah,Tom Anderson,3
Guy T Gaskin,Tom Anderson,UWI,3
Tom Anderson,Robin Wonsley Worlobah,Robin Wonsley Worlobah,3
Guy T Gaskin,Robin Wonsley Worlobah,Cam Gordon,3
Guy T Gaskin,Guy T Gaskin,,3
Cam Gordon,Robin Wonsley Worlobah,Guy T Gaskin,3
Yusra Arab,Robin Wonsley Worlobah,Yusra Arab,3
overvote,,,2
overvote,Tom Anderson,,2
Cam Gordon,Yusra Arab,UWI,2
Yusra Arab,Yusra Arab,Tom Anderson,2
Cam Gordon,Cam Gordon,,2
Guy T Gaskin,Cam Gordon,Robin Wonsley Worlobah,2
Guy T Gaskin,Robin Wonsley Worlobah,Tom Anderson,2
Tom Anderson,overvote,Yusra Arab,2
Cam Gordon,Yusra Arab,Yusra Arab,2
Guy T Gaskin,Cam Gordon,Guy T Gaskin,2
Robin Wonsley Worlobah,Yusra Arab,UWI,2
UWI,,,2
Guy T Gaskin,Cam Gordon,Yusra Arab,2
Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,2
Guy T Gaskin,Yusra Arab,Guy T Gaskin,2
Tom Anderson,UWI,UWI,2
Yusra Arab,UWI,,2
Yusra Arab,,Yusra Arab,2
Tom Anderson,Guy T Gaskin,UWI,2
Yusra Arab,Guy T Gaskin,UWI,2
,Cam Gordon,,2
Robin Wonsley Worlobah,Guy T Gaskin,Yusra Arab,2
Guy T Gaskin,Yusra Arab,Robin Wonsley Worlobah,2
Robin Wonsley Worlobah,Guy T Gaskin,Tom Anderson,2
Guy T Gaskin,Robin Wonsley Worlobah,Yusra Arab,2
overvote,overvote,overvote,1
Robin Wonsley Worlobah,Robin Wonsley Worlobah,Guy T Gaskin,1
Tom Anderson,,Yusra Arab,1
overvote,Cam Gordon,overvote,1
Guy T Gaskin,Tom Anderson,overvote,1
Yusra Arab,Tom Anderson,Tom Anderson,1
Tom Anderson,Cam Gordon,overvote,1
