year,state,unit,unit_evs,had_popular_vote,candidate,party,on_ballot,raw_votes,evs_awarded,total_evs,evs_to_win,source_url
1824,AL,AL,5,True,Andrew Jackson,Democratic-Republican,True,9461,5,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,AL,AL,5,True,Henry Clay,Democratic-Republican,True,96,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,AL,AL,5,True,John Quincy Adams,Democratic-Republican,True,2422,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,AL,AL,5,True,Other,,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,AL,AL,5,True,William Crawford,Democratic-Republican,True,1663,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,CT,CT,8,True,Andrew Jackson,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,CT,CT,8,True,Henry Clay,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,CT,CT,8,True,John Quincy Adams,Democratic-Republican,True,9261,8,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,CT,CT,8,True,Other,,True,27,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,CT,CT,8,True,William Crawford,Democratic-Republican,True,1978,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,DE,DE,3,False,Andrew Jackson,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,DE,DE,3,False,Henry Clay,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,DE,DE,3,False,John Quincy Adams,Democratic-Republican,True,,1,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,DE,DE,3,False,Other,,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,DE,DE,3,False,William Crawford,Democratic-Republican,True,,2,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,GA,GA,9,False,Andrew Jackson,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,GA,GA,9,False,Henry Clay,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,GA,GA,9,False,John Quincy Adams,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
